Period Date,Indus at Tarbela Levels(feet),Indus at Tarbela Inflow,Indus at Tarbela Outflow,Kabul Inflow at Nowshera,Jehlum at Mangla Levels(feet),Jehlum at Mangla Inflow,Jehlum at Mangla Outflow,Chenab Inflow at Marala,System Inflows Current Year,System Inflows Last Year,System Inflows This Decade
1/1/2017,1419.8,17.7,10,7.8,1101.45,5.7,10,4.9,36.1,48.5,43.1
1/2/2017,1420.35,17.5,10,8,1101,5.8,10,4.9,36.2,49.1,43.7
1/3/2017,1420.86,17.1,10,8.6,1100.55,5.8,10,4.9,36.4,49.7,43.2
1/4/2017,1421.53,17.1,8,8.7,1100.1,5.7,10,5.2,36.7,47.6,42.6
1/5/2017,1422.36,18.6,7.5,9.2,1099.75,7.1,10,5.2,40.1,47.4,42.1
1/6/2017,1423.19,18.4,7.5,11.2,1099.85,5.7,5,5.2,40.5,52.4,42.6
1/7/2017,1424.05,18.7,7.5,13.3,1100.15,7.4,5,5.2,44.6,56,42.7
1/8/2017,1424.84,18,7.5,11.3,1100.6,9.5,5,5.6,44.4,52.7,42.8
1/9/2017,1425.68,19.1,8,10.3,1100.9,7.5,5,5.6,42.5,50.2,42.9
1/10/2017,1426.34,16.9,8,10.6,1101.15,7.2,5,5.6,40.3,50.7,44.1
1/11/2017,1426.95,15.1,7,10.6,1101.3,6.2,5,5.4,37.3,52,47.4
1/12/2017,1427.85,16.3,5,11.1,1101.5,6.5,5,5.4,39.3,51.7,44.1
1/13/2017,1428.62,14.6,5,11.4,1101.75,7.2,5,5.4,38.6,51.8,42.8
1/14/2017,1429.33,13.9,5,10.7,1102.1,8.1,5,5.4,38.1,51.2,43.3
1/15/2017,1430.04,13.9,5,10.9,1102.4,7.6,5,5.4,37.8,47.5,41.5
1/16/2017,1430.77,14.5,5,11.1,1102.65,7.4,5,5.7,38.7,45.6,42.6
1/17/2017,1431.48,14.3,5,11.1,1102.9,7.2,5,5.7,38.3,47.5,44.9
1/18/2017,1431.97,16.4,10,12,1103.05,6.2,5,5.7,40.3,45,48.5
1/19/2017,1432.37,15.2,10,12,1103.15,5.8,5,5.7,38.7,45.3,54.1
1/20/2017,1432.41,15.5,15,11.9,1103.25,5.9,5,5.7,39,46.5,49.2
1/21/2017,1432.44,15.4,15,11.5,1103.35,5.9,5,5.7,38.5,46.6,46.1
1/22/2017,1432.45,15.1,15,10.7,1103.5,6.3,5,5.7,37.8,45.7,44.5
1/23/2017,1432.52,15.9,15,11.1,1103.6,5.7,5,5.7,38.4,43,45.7
1/24/2017,1432.47,14.3,15,11,1103.75,6.2,5,5.7,37.2,44.6,45.5
1/25/2017,1432.47,15,15,11.7,1103.9,6.4,5,6.1,39.2,43.1,44.8
1/26/2017,1432.78,19,15,12,1105,18.1,8,7.6,56.7,43.1,44
1/27/2017,1433.48,19.1,10,15.3,1109.2,43.7,5,32.8,110.9,42.5,45.9
1/28/2017,1434.04,17.3,10,15.4,1111.55,28.9,5,11.5,73.1,41.9,44.4
1/29/2017,1434.89,16.1,5,14.1,1112.6,16.2,5,7.6,54,44.4,44
1/30/2017,1435.7,15.6,5,12.9,1113.4,13.4,5,9.7,51.6,48.5,44.2
1/31/2017,1436.47,15.1,5,12.8,1114,16.3,10,12,56.2,57.4,44.5
2/1/2017,1436.96,16.4,10,13.5,1113.9,13.8,15,10.2,53.9,52.1,43.3
